"Story","Title","Result","Date","Stability","Duration (s)"
"Update Image","User berhasil mengubah gambar profil","SUCCESS","2023-06-18T07:56:19.6217441+07:00[Asia/Jakarta]","0.0","9.78"
"Update Image","User belum berhasil mengubah gambar profil karena format gambar invalid","FAILURE","2023-06-18T07:56:29.5054116+07:00[Asia/Jakarta]","0.0","0.87"
"Update Image","User belum berhasil mengubah gambar profil karena tidak authorization","ERROR","2023-06-18T07:56:30.4084784+07:00[Asia/Jakarta]","0.0","0.93"
