"Story","Title","Result","Date","Stability","Duration (s)"
"Transaksi","Admin dapat melihat semua riwayat transaksi","SUCCESS","2023-06-24T22:20:21.580765+07:00[Asia/Jakarta]","0.0","27.6"
"Transaksi","Admin dapat melihat semua riwayat transaksi yang difilter hanya status belum bayar saja","SUCCESS","2023-06-24T22:21:06.6598542+07:00[Asia/Jakarta]","0.0","11.85"
"Transaksi","Admin dapat melihat semua riwayat transaksi yang difilter hanya status gagal saja","SUCCESS","2023-06-24T22:21:19.0599292+07:00[Asia/Jakarta]","0.0","11.25"
